Kabupaten,Produksi_2021,Produksi_2022
Pacitan,2689.0,700.0
Ponorogo,37941.0,28379.0
Trenggalek,10372.0,5493.0
Tulungagung,38202.0,18165.0
Blitar,139862.0,49110.0
Kediri,182713.0,129595.0
Malang,505872.0,512213.0
Lumajang,400.0,3114.0
Jember,1410.0,4545.0
Banyuwangi,61414.0,58811.0
Bondowoso,3889.0,4072.0
Situbondo,54118.0,45287.0
Probolinggo,663708.0,582388.0
Pasuruan,7864.0,12405.0
Sidoarjo,3229.0,2504.0
Mojokerto,73928.0,70400.0
Jombang,9990.0,7431.0
Nganjuk,1936524.0,1939881.0
Madiun,35152.0,23640.0
Magetan,44815.0,35618.0
Ngawi,61122.0,41977.0
Bojonegoro,331642.0,331942.0
Tuban,22556.0,20726.0
Lamongan,12366.0,5448.0
Gresik,658.0,1056.0
Bangkalan,81.0,32.0
Sampang,352335.0,396943.0
Pamekasan,191866.0,185671.0
Sumenep,119459.0,115534.0
Kediri,4503.0,561.0
Blitar,609.0,
Malang,,
Probolinggo,59972.0,60999.0
Pasuruan,54.0,
Mojokerto,,
Madiun,98.0,14.0
Surabaya,,61.0
Batu,38509.0,45177.0
Total,5009921.0,4739890.0
