Kabupaten,Produksi_2021,Produksi_2022
Pacitan,41.0,54.0
Ponorogo,,95.0
Trenggalek,,
Tulungagung,,
Blitar,,
Kediri,,
Malang,17746.0,1824.0
Lumajang,1440.0,
Jember,,
Banyuwangi,227.0,959.0
Bondowoso,140.0,
Situbondo,,
Probolinggo,1330.0,2552.0
Pasuruan,1797.0,535.0
Sidoarjo,,
Mojokerto,7950.0,2120.0
Jombang,,
Nganjuk,,
Madiun,,
Magetan,11145.0,
Ngawi,,
Bojonegoro,,
Tuban,,
Lamongan,,
Gresik,,
Bangkalan,,
Sampang,,
Pamekasan,,
Sumenep,,
Kediri,,
Blitar,,
Malang,,
Probolinggo,,
Pasuruan,,
Mojokerto,,
Madiun,,
Surabaya,,
Batu,380.0,406.0
Total,42196.0,8545.0
