Kabupaten,Produksi_2021,Produksi_2022
Pacitan,,
Ponorogo,6038.0,9487.0
Trenggalek,2013.0,2102.0
Tulungagung,4209.0,5104.0
Blitar,71063.0,29399.0
Kediri,135675.0,34863.0
Malang,287625.0,158920.0
Lumajang,49174.0,52378.0
Jember,42180.0,58724.0
Banyuwangi,90970.0,104833.0
Bondowoso,413.0,2487.0
Situbondo,5285.0,5837.0
Probolinggo,89642.0,120378.0
Pasuruan,7464.0,64388.0
Sidoarjo,212.0,180.0
Mojokerto,1049.0,4143.0
Jombang,12177.0,26146.0
Nganjuk,2904.0,1351.0
Madiun,629.0,844.0
Magetan,10351.0,13366.0
Ngawi,10593.0,9557.0
Bojonegoro,24178.0,16927.0
Tuban,21285.0,10251.0
Lamongan,1314.0,2314.0
Gresik,48554.0,49240.0
Bangkalan,929.0,608.0
Sampang,12396.0,20015.0
Pamekasan,7252.0,16810.0
Sumenep,8692.0,7516.0
Kediri,485.0,277.0
Blitar,179.0,36.0
Malang,405.0,1049.0
Probolinggo,87.0,159.0
Pasuruan,84.0,50.0
Mojokerto,,
Madiun,,
Surabaya,32.0,85.0
Batu,21310.0,21622.0
Total,976848.0,851445.0
