Kabupaten,Produksi_2021,Produksi_2022
Pacitan,14423.0,20234.0
Ponorogo,532.0,462.0
Trenggalek,255.0,1246.0
Tulungagung,7191.0,6463.0
Blitar,35944.0,31733.0
Kediri,9686.0,25365.0
Malang,110538.0,115630.0
Lumajang,1289.0,975.0
Jember,750.0,174.0
Banyuwangi,,
Bondowoso,789.0,795.0
Situbondo,206.0,
Probolinggo,,
Pasuruan,1032.0,2351.0
Sidoarjo,,
Mojokerto,,
Jombang,1080.0,151.0
Nganjuk,3980.0,6043.0
Madiun,186.0,607.0
Magetan,49360.0,20664.0
Ngawi,6821.0,11368.0
Bojonegoro,3510.0,1865.0
Tuban,47081.0,59481.0
Lamongan,,
Gresik,,
Bangkalan,32.0,
Sampang,947.0,400.0
Pamekasan,1082.0,760.0
Sumenep,,
Kediri,,
Blitar,528.0,206.0
Malang,,
Probolinggo,,
Pasuruan,,
Mojokerto,,
Madiun,,
Surabaya,,10.0
Batu,200.0,200.0
Total,297442.0,307182.0
