Kabupaten,Produksi_2021,Produksi_2022
Pacitan,6948.0,7660.0
Ponorogo,35539.0,21097.0
Trenggalek,5658.0,6727.0
Tulungagung,17067.0,11925.0
Blitar,713370.0,446746.0
Kediri,599068.0,811942.0
Malang,836625.0,874337.0
Lumajang,126321.0,101166.0
Jember,184130.0,194612.0
Banyuwangi,169059.0,1042988.0
Bondowoso,90980.0,83057.0
Situbondo,207140.0,288246.0
Probolinggo,649266.0,354006.0
Pasuruan,9520.0,28642.0
Sidoarjo,60.0,120.0
Mojokerto,54176.0,80827.0
Jombang,65964.0,137621.0
Nganjuk,74486.0,50279.0
Madiun,1027.0,1370.0
Magetan,7587.0,9753.0
Ngawi,12250.0,11684.0
Bojonegoro,24032.0,14779.0
Tuban,567278.0,366783.0
Lamongan,461300.0,266216.0
Gresik,229568.0,208456.0
Bangkalan,10379.0,7475.0
Sampang,452144.0,491112.0
Pamekasan,65437.0,82119.0
Sumenep,96503.0,108539.0
Kediri,859.0,704.0
Blitar,2042.0,1917.0
Malang,352.0,259.0
Probolinggo,730.0,614.0
Pasuruan,,
Mojokerto,,
Madiun,,
Surabaya,2360.0,135.0
Batu,9606.0,10176.0
Total,5788830.0,6124089.0
