kabupaten/kota,avg_konsumsi_perkapita_kg,tahun
Kabupaten Pacitan,1.549,2021
Kabupaten Ponorogo,1.435,2021
Kabupaten Trenggalek,1.521,2021
Kabupaten Tulungagung,1.427,2021
Kabupaten Blitar,1.281,2021
Kabupaten Kediri,1.448,2021
Kabupaten Malang,1.382,2021
Kabupaten Lumajang,1.66,2021
Kabupaten Jember,1.633,2021
Kabupaten Banyuwangi,1.574,2021
Kabupaten Bondowoso,1.553,2021
Kabupaten Situbondo,1.606,2021
Kabupaten Probolinggo,1.588,2021
Kabupaten Pasuruan,1.569,2021
Kabupaten Sidoarjo,1.251,2021
Kabupaten Mojokerto,1.446,2021
Kabupaten Jombang,1.373,2021
Kabupaten Nganjuk,1.532,2021
Kabupaten Madiun,1.452,2021
Kabupaten Magetan,1.449,2021
Kabupaten Ngawi,1.598,2021
Kabupaten Bojonegoro,1.61,2021
Kabupaten Tuban,1.482,2021
Kabupaten Lamongan,1.607,2021
Kabupaten Gresik,1.362,2021
Kabupaten Bangkalan,1.633,2021
Kabupaten Sampang,1.929,2021
Kabupaten Pamekasan,1.412,2021
Kabupaten Sumenep,1.671,2021
Kota Kediri,1.134,2021
Kota Blitar,1.126,2021
Kota Malang,1.12,2021
Kota Probolinggo,1.491,2021
Kota Pasuruan,1.346,2021
Kota Mojokerto,1.208,2021
Kota Madiun,1.126,2021
Kota Surabaya,1.26,2021
Kota Batu,1.181,2021
Kabupaten Pacitan,1.505,2022
Kabupaten Ponorogo,1.426,2022
Kabupaten Trenggalek,1.511,2022
Kabupaten Tulungagung,1.393,2022
Kabupaten Blitar,1.275,2022
Kabupaten Kediri,1.429,2022
Kabupaten Malang,1.389,2022
Kabupaten Lumajang,1.656,2022
Kabupaten Jember,1.668,2022
Kabupaten Banyuwangi,1.57,2022
Kabupaten Bondowoso,1.559,2022
Kabupaten Situbondo,1.673,2022
Kabupaten Probolinggo,1.671,2022
Kabupaten Pasuruan,1.541,2022
Kabupaten Sidoarjo,1.31,2022
Kabupaten Mojokerto,1.461,2022
Kabupaten Jombang,1.346,2022
Kabupaten Nganjuk,1.499,2022
Kabupaten Madiun,1.411,2022
Kabupaten Magetan,1.356,2022
Kabupaten Ngawi,1.537,2022
Kabupaten Bojonegoro,1.623,2022
Kabupaten Tuban,1.647,2022
Kabupaten Lamongan,1.583,2022
Kabupaten Gresik,1.443,2022
Kabupaten Bangkalan,1.679,2022
Kabupaten Sampang,1.909,2022
Kabupaten Pamekasan,1.358,2022
Kabupaten Sumenep,1.576,2022
Kota Kediri,1.223,2022
Kota Blitar,1.146,2022
Kota Malang,1.217,2022
Kota Probolinggo,1.493,2022
Kota Pasuruan,1.309,2022
Kota Mojokerto,1.224,2022
Kota Madiun,1.174,2022
Kota Surabaya,1.188,2022
Kota Batu,1.172,2022
Kabupaten Pacitan,1.543,2023
Kabupaten Ponorogo,1.39,2023
Kabupaten Trenggalek,1.561,2023
Kabupaten Tulungagung,1.407,2023
Kabupaten Blitar,1.25,2023
Kabupaten Kediri,1.456,2023
Kabupaten Malang,1.377,2023
Kabupaten Lumajang,1.693,2023
Kabupaten Jember,1.66,2023
Kabupaten Banyuwangi,1.653,2023
Kabupaten Bondowoso,1.54,2023
Kabupaten Situbondo,1.646,2023
Kabupaten Probolinggo,1.693,2023
Kabupaten Pasuruan,1.508,2023
Kabupaten Sidoarjo,1.248,2023
Kabupaten Mojokerto,1.454,2023
Kabupaten Jombang,1.314,2023
Kabupaten Nganjuk,1.506,2023
Kabupaten Madiun,1.44,2023
Kabupaten Magetan,1.408,2023
Kabupaten Ngawi,1.576,2023
Kabupaten Bojonegoro,1.726,2023
Kabupaten Tuban,1.588,2023
Kabupaten Lamongan,1.66,2023
Kabupaten Gresik,1.249,2023
Kabupaten Bangkalan,1.738,2023
Kabupaten Sampang,1.904,2023
Kabupaten Pamekasan,1.473,2023
Kabupaten Sumenep,1.589,2023
Kota Kediri,1.248,2023
Kota Blitar,1.123,2023
Kota Malang,1.173,2023
Kota Probolinggo,1.488,2023
Kota Pasuruan,1.311,2023
Kota Mojokerto,1.243,2023
Kota Madiun,1.169,2023
