tahun,kabupaten,produksi
2021,Kabupaten Bangkalan,112783.6
2021,Kabupaten Banyuwangi,296499.51
2021,Kabupaten Blitar,142834.27
2021,Kabupaten Bojonegoro,389182.32
2021,Kabupaten Bondowoso,149523.79
2021,Kabupaten Gresik,219226.91
2021,Kabupaten Jember,355516.37
2021,Kabupaten Jombang,188716.29
2021,Kabupaten Kediri,114457.39
2021,Kabupaten Lamongan,457699.04
2021,Kabupaten Lumajang,170382.55
2021,Kabupaten Madiun,266651.51
2021,Kabupaten Magetan,177429.44999999998
2021,Kabupaten Malang,157842.77
2021,Kabupaten Mojokerto,171518.24
2021,Kabupaten Nganjuk,247892.8
2021,Kabupaten Ngawi,454126.86
2021,Kabupaten Pacitan,50880.29
2021,Kabupaten Pamekasan,55850.35999999999
2021,Kabupaten Pasuruan,152987.93
2021,Kabupaten Ponorogo,233661.75
2021,Kabupaten Probolinggo,109813.84
2021,Kabupaten Sampang,112943.75
2021,Kabupaten Sidoarjo,116928.41
2021,Kabupaten Situbondo,87281.16
2021,Kabupaten Sumenep,128175.38
2021,Kabupaten Trenggalek,67244.24
2021,Kabupaten Tuban,282600.18
2021,Kabupaten Tulungagung,137378.06
2021,Kota Batu,3320.29
2021,Kota Blitar,3345.17
2021,Kota Kediri,5505.62
2021,Kota Madiun,7798.519999999999
2021,Kota Malang,6531.42
2021,Kota Mojokerto,2549.27
2021,Kota Pasuruan,4795.24
2021,Kota Probolinggo,5152.96
2021,Kota Surabaya,5677.59
2022,Kabupaten Bangkalan,114400.05
2022,Kabupaten Banyuwangi,266887.02
2022,Kabupaten Blitar,124424.09
2022,Kabupaten Bojonegoro,406670.62
2022,Kabupaten Bondowoso,137817.3
2022,Kabupaten Gresik,237459.53
2022,Kabupaten Jember,350708.35
2022,Kabupaten Jombang,194689.98
2022,Kabupaten Kediri,97499.45
2022,Kabupaten Lamongan,521919.84
2022,Kabupaten Lumajang,173704.72
2022,Kabupaten Madiun,231876.72
2022,Kabupaten Magetan,153997.9
2022,Kabupaten Malang,156831.2
2022,Kabupaten Mojokerto,162733.96
2022,Kabupaten Nganjuk,217385.07
