kabupaten/kota,populasi,tahun
Kabupaten Pacitan,589100.0,2021
Kabupaten Ponorogo,955800.0,2021
Kabupaten Trenggalek,734900.0,2021
Kabupaten Tulungagung,1096600.0,2021
Kabupaten Blitar,1231000.0,2021
Kabupaten Kediri,1644400.0,2021
Kabupaten Malang,2668300.0,2021
Kabupaten Lumajang,1127100.0,2021
Kabupaten Jember,2550400.0,2021
Kabupaten Banyuwangi,1718500.0,2021
Kabupaten Bondowoso,778500.0,2021
Kabupaten Situbondo,688300.0,2021
Kabupaten Probolinggo,1155900.0,2021
Kabupaten Pasuruan,1611800.0,2021
Kabupaten Sidoarjo,2091900.0,2021
Kabupaten Mojokerto,1125500.0,2021
Kabupaten Jombang,1325900.0,2021
Kabupaten Nganjuk,1109700.0,2021
Kabupaten Madiun,750100.0,2021
Kabupaten Magetan,674100.0,2021
Kabupaten Ngawi,873300.0,2021
Kabupaten Bojonegoro,1307600.0,2021
Kabupaten Tuban,1203100.0,2021
Kabupaten Lamongan,1356000.0,2021
Kabupaten Gresik,1320600.0,2021
Kabupaten Bangkalan,1071700.0,2021
Kabupaten Sampang,976000.0,2021
Kabupaten Pamekasan,853500.0,2021
Kabupaten Sumenep,1129800.0,2021
Kota Kediri,288000.0,2021
Kota Blitar,150400.0,2021
Kota Malang,844900.0,2021
Kota Probolinggo,241200.0,2021
Kota Pasuruan,209500.0,2021
Kota Mojokerto,133300.0,2021
Kota Madiun,196900.0,2021
Kota Surabaya,2880300.0,2021
Kota Batu,214700.0,2021
Kabupaten Sidoarjo,2103401.0,2022
Kabupaten Mojokerto,1133584.0,2022
Kabupaten Jombang,1335972.0,2022
Kabupaten Nganjuk,1117033.0,2022
Kabupaten Madiun,757665.0,2022
Kabupaten Magetan,678343.0,2022
Kabupaten Ngawi,877432.0,2022
Kabupaten Bojonegoro,1315125.0,2022
Kabupaten Tuban,1209543.0,2022
Kabupaten Lamongan,1371509.0,2022
Kabupaten Gresik,1332664.0,2022
Kabupaten Bangkalan,1086620.0,2022
Kabupaten Sampang,984162.0,2022
Kabupaten Pamekasan,857818.0,2022
Kabupaten Sumenep,1136632.0,2022
Kota Kediri,289418.0,2022
Kota Blitar,151960.0,2022
Kota Malang,846126.0,2022
Kabupaten Lumajang,1137227.0,2022
Kabupaten Malang,2685900.0,2022
Kabupaten Kediri,1656020.0,2022
Kabupaten Blitar,1240322.0,2022
Kabupaten Tulungagung,1105337.0,2022
Kabupaten Trenggalek,739669.0,2022
Kabupaten Ponorogo,964253.0,2022
Kabupaten Pacitan,592916.0,2022
Kabupaten Jember,2567718.0,2022
Kabupaten Banyuwangi,1731731.0,2022
Kabupaten Bondowoso,781417.0,2022
Kabupaten Situbondo,691260.0,2022
Kabupaten Probolinggo,1159965.0,2022
Kabupaten Pasuruan,1619035.0,2022
Kota Pasuruan,211497.0,2022
Kota Probolinggo,243200.0,2022
Kota Madiun,199192.0,2022
Kota Mojokerto,134350.0,2022
Kota Batu,216735.0,2022
Kota Surabaya,2887223.0,2022
Kota Mojokerto,136100.0,2023
Kota Madiun,200000.0,2023
Kota Probolinggo,247000.0,2023
Kota Pasuruan,216400.0,2023
Kabupaten Bondowoso,788200.0,2023
Kabupaten Situbondo,697000.0,2023
Kabupaten Probolinggo,1176900.0,2023
Kabupaten Pasuruan,1644500.0,2023
Kabupaten Sidoarjo,2148700.0,2023
Kabupaten Mojokerto,1145500.0,2023
Kabupaten Jombang,1351300.0,2023
Kabupaten Nganjuk,1124700.0,2023
Kabupaten Madiun,754500.0,2023
Kabupaten Magetan,681700.0,2023
Kota Surabaya,2911400.0,2023
Kota Batu,220200.0,2023
