kab_id,nama,latitude,longitude,ipm_2024,population_2024,tier
3578,Kota Surabaya,-7.2575,112.7521,84.69,2949496,TIER_1_HIGH
3573,Kota Malang,-7.9666,112.6326,84.68,844614,TIER_1_HIGH
3571,Kota Kediri,-7.8166,112.0114,81.48,287609,TIER_1_HIGH
3577,Kota Madiun,-7.6298,111.53,81.67,178540,TIER_1_HIGH
3574,Kota Probolinggo,-7.7543,113.2159,79.2,239649,TIER_1_HIGH
3510,Banyuwangi,-8.2192,114.3691,73.45,1719287,TIER_1_HIGH
3529,Sumenep,-7.0067,113.8525,68.79,1144719,TIER_1_HIGH
3509,Jember,-8.1727,113.7,71.86,2606656,TIER_1_HIGH
3501,Pacitan,-8.1985,111.1014,71.4,592786,TIER_2_MEDIUM
3502,Ponorogo,-7.8674,111.4625,73.2,956000,TIER_2_MEDIUM
3503,Trenggalek,-8.0497,111.71,73.85,733700,TIER_2_MEDIUM
3504,Tulungagung,-8.0658,111.9028,75.3,1077500,TIER_2_MEDIUM
3505,Blitar,-8.095,112.1658,73.85,1213000,TIER_2_MEDIUM
3506,Kediri,-7.796,112.17,74.5,1626100,TIER_2_MEDIUM
3507,Malang,-8.1706,112.529,75.5,2716000,TIER_2_MEDIUM
3508,Lumajang,-8.1336,113.2245,70.1,1129500,TIER_2_MEDIUM
3511,Bondowoso,-7.9134,113.8217,69.62,790180,TIER_2_MEDIUM
3512,Situbondo,-7.7068,114.0093,71.2,690600,TIER_2_MEDIUM
3513,Probolinggo,-7.8742,113.4675,69.4,1208400,TIER_2_MEDIUM
3514,Pasuruan,-7.746,112.9237,71.3,1683700,TIER_2_MEDIUM
3515,Sidoarjo,-7.4549,112.7178,80.13,2185300,TIER_2_MEDIUM
3516,Mojokerto,-7.472,112.439,76.5,1175000,TIER_2_MEDIUM
3517,Jombang,-7.546,112.2308,75.1,1357300,TIER_2_MEDIUM
3518,Nganjuk,-7.605,111.9023,75.2,1075800,TIER_2_MEDIUM
3519,Madiun,-7.557,111.689,73.55,743200,TIER_2_MEDIUM
3520,Magetan,-7.6515,111.3287,75.8,679000,TIER_2_MEDIUM
3521,Ngawi,-7.408,111.4458,74.4,889600,TIER_2_MEDIUM
3522,Bojonegoro,-7.15,111.88,73.1,1357000,TIER_2_MEDIUM
3523,Tuban,-6.897,111.975,74.3,1218000,TIER_2_MEDIUM
3524,Lamongan,-7.1155,112.417,75.6,1378200,TIER_2_MEDIUM
3525,Gresik,-7.1568,112.651,77.61,1330000,TIER_2_MEDIUM
3526,Bangkalan,-7.0317,112.7491,67.7,1062200,TIER_2_MEDIUM
3527,Sampang,-7.1924,113.2473,66.72,984000,TIER_2_MEDIUM
3528,Pamekasan,-7.1565,113.4785,70.43,892800,TIER_2_MEDIUM
3572,Kota Blitar,-8.098,112.1681,80.2,148800,TIER_2_MEDIUM
3575,Kota Pasuruan,-7.6469,112.907,79.5,211800,TIER_2_MEDIUM
3576,Kota Mojokerto,-7.4719,112.4341,80.85,146100,TIER_2_MEDIUM
3579,Kota Batu,-7.874,112.524,78.3,213700,TIER_2_MEDIUM
