from_id,from_nama,to_id,to_nama,road_km,duration_hr
3578,Kota Surabaya,3578,Kota Surabaya,0.000,0.0000
3578,Kota Surabaya,3573,Kota Malang,88.054,1.1634
3578,Kota Surabaya,3571,Kota Kediri,119.543,1.4518
3578,Kota Surabaya,3577,Kota Madiun,166.613,2.1773
3578,Kota Surabaya,3574,Kota Probolinggo,98.883,1.3161
3578,Kota Surabaya,3510,Banyuwangi,301.249,3.7817
3578,Kota Surabaya,3529,Sumenep,166.871,2.1134
3578,Kota Surabaya,3509,Jember,197.157,2.4678
3578,Kota Surabaya,3501,Pacitan,283.867,3.4699
3578,Kota Surabaya,3502,Ponorogo,197.270,2.5437
3578,Kota Surabaya,3503,Trenggalek,182.686,2.2467
3578,Kota Surabaya,3504,Tulungagung,150.128,1.8486
3578,Kota Surabaya,3505,Blitar,166.404,2.1158
3578,Kota Surabaya,3506,Kediri,117.089,1.5522
3578,Kota Surabaya,3507,Malang,119.058,1.6200
3578,Kota Surabaya,3508,Lumajang,144.896,1.8655
3578,Kota Surabaya,3511,Bondowoso,195.049,2.5698
3578,Kota Surabaya,3512,Situbondo,199.220,2.5328
3578,Kota Surabaya,3513,Probolinggo,145.888,2.1060
3578,Kota Surabaya,3514,Pasuruan,74.195,1.1307
3578,Kota Surabaya,3515,Sidoarjo,23.877,0.3643
3578,Kota Surabaya,3516,Mojokerto,53.287,0.6872
3578,Kota Surabaya,3517,Jombang,80.735,1.0182
3578,Kota Surabaya,3518,Nganjuk,115.045,1.4583
3578,Kota Surabaya,3519,Madiun,142.961,1.8029
3578,Kota Surabaya,3520,Magetan,190.674,2.5310
3578,Kota Surabaya,3521,Ngawi,180.985,2.3747
3578,Kota Surabaya,3522,Bojonegoro,110.171,1.3693
3578,Kota Surabaya,3523,Tuban,111.067,1.4137
3578,Kota Surabaya,3524,Lamongan,44.706,0.5831
3578,Kota Surabaya,3525,Gresik,21.218,0.3302
3578,Kota Surabaya,3526,Bangkalan,32.382,0.4473
3578,Kota Surabaya,3527,Sampang,80.776,1.0067
3578,Kota Surabaya,3528,Pamekasan,113.668,1.3996
3578,Kota Surabaya,3572,Kota Blitar,167.089,2.1139
3578,Kota Surabaya,3575,Kota Pasuruan,62.267,0.8712
3578,Kota Surabaya,3576,Kota Mojokerto,53.843,0.6993
3578,Kota Surabaya,3579,Kota Batu,99.711,1.3423
3573,Kota Malang,3578,Kota Surabaya,88.006,1.1602
3573,Kota Malang,3573,Kota Malang,0.000,0.0000
3573,Kota Malang,3571,Kota Kediri,104.553,1.7105
3573,Kota Malang,3577,Kota Madiun,203.313,2.6681
3573,Kota Malang,3574,Kota Probolinggo,87.252,1.1789
3573,Kota Malang,3510,Banyuwangi,288.990,3.6384
3573,Kota Malang,3529,Sumenep,254.454,3.2394
3573,Kota Malang,3509,Jember,184.899,2.3246
3573,Kota Malang,3501,Pacitan,248.380,3.0379
3573,Kota Malang,3502,Ponorogo,196.285,2.4082
3573,Kota Malang,3503,Trenggalek,147.199,1.8147
3573,Kota Malang,3504,Tulungagung,116.407,1.4407
3573,Kota Malang,3505,Blitar,79.923,1.0188
3573,Kota Malang,3506,Kediri,85.327,1.4185
3573,Kota Malang,3507,Malang,32.578,0.5230
3573,Kota Malang,3508,Lumajang,121.228,1.5537
3573,Kota Malang,3511,Bondowoso,183.417,2.4327
3573,Kota Malang,3512,Situbondo,187.588,2.3956
3573,Kota Malang,3513,Probolinggo,134.257,1.9689
3573,Kota Malang,3514,Pasuruan,54.825,0.8754
3573,Kota Malang,3515,Sidoarjo,65.385,0.8127
