kab_id,commodity_code,role,volume_tons,price_idr_per_kg,harvest_age_days
3506,cabai_merah,SURPLUS,85.0,38000,2
3504,cabai_merah,SURPLUS,60.0,39000,1
3505,cabai_merah,SURPLUS,45.0,40000,2
3503,cabai_merah,SURPLUS,20.0,41000,1
3508,cabai_merah,SURPLUS,15.0,42000,2
3578,cabai_merah,DEFICIT,80.0,65000,0
3515,cabai_merah,DEFICIT,35.0,62000,0
3525,cabai_merah,DEFICIT,30.0,60000,0
3573,cabai_merah,DEFICIT,25.0,58000,0
3527,cabai_merah,SURPLUS,2.0,42000,3
3506,cabai_rawit,SURPLUS,40.0,52000,2
3504,cabai_rawit,SURPLUS,30.0,53000,1
3508,cabai_rawit,SURPLUS,25.0,54000,2
3578,cabai_rawit,DEFICIT,60.0,75000,0
3573,cabai_rawit,DEFICIT,20.0,72000,0
3513,bawang_merah,SURPLUS,120.0,28000,5
3514,bawang_merah,SURPLUS,80.0,29000,6
3526,bawang_merah,SURPLUS,40.0,30000,4
3527,bawang_merah,SURPLUS,35.0,30000,3
3528,bawang_merah,SURPLUS,45.0,29500,5
3529,bawang_merah,SURPLUS,60.0,29000,6
3578,bawang_merah,DEFICIT,150.0,42000,0
3515,bawang_merah,DEFICIT,60.0,40000,0
3573,bawang_merah,DEFICIT,35.0,41000,0
3525,bawang_merah,DEFICIT,40.0,39000,0
3507,tomat,SURPLUS,50.0,8000,2
3579,tomat,SURPLUS,30.0,8500,1
3505,tomat,SURPLUS,25.0,9000,2
3578,tomat,DEFICIT,60.0,14000,0
3525,tomat,DEFICIT,25.0,13500,0
3507,kentang,SURPLUS,35.0,10000,5
3579,kentang,SURPLUS,25.0,10500,4
3578,kentang,DEFICIT,45.0,16000,0
3573,kentang,DEFICIT,15.0,15000,0
3579,kol,SURPLUS,40.0,5500,3
3507,kol,SURPLUS,30.0,5800,4
3578,kol,DEFICIT,50.0,9500,0
3579,wortel,SURPLUS,28.0,8000,3
3507,wortel,SURPLUS,22.0,8200,4
3578,wortel,DEFICIT,35.0,12500,0
3523,beras_premium,SURPLUS,850.0,14500,30
3524,beras_premium,SURPLUS,700.0,14600,25
3522,beras_premium,SURPLUS,650.0,14400,35
3521,beras_premium,SURPLUS,500.0,14300,28
3578,beras_premium,DEFICIT,800.0,17000,0
3525,beras_premium,DEFICIT,350.0,16800,0
3515,beras_premium,DEFICIT,400.0,16500,0
3519,beras_medium,SURPLUS,1200.0,12500,20
3520,beras_medium,SURPLUS,800.0,12600,22
3521,beras_medium,SURPLUS,900.0,12400,25
3578,beras_medium,DEFICIT,1000.0,14500,0
3522,jagung,SURPLUS,800.0,5500,15
3521,jagung,SURPLUS,600.0,5400,18
3502,jagung,SURPLUS,400.0,5600,20
3578,jagung,DEFICIT,700.0,7200,0
3525,jagung,DEFICIT,400.0,7000,0
3505,telur_ayam,SURPLUS,80.0,26000,1
3506,telur_ayam,SURPLUS,50.0,26500,2
3578,telur_ayam,DEFICIT,90.0,32000,0
3573,telur_ayam,DEFICIT,25.0,30500,0
3505,daging_ayam,SURPLUS,30.0,32000,1
3506,daging_ayam,SURPLUS,20.0,33000,1
3578,daging_ayam,DEFICIT,40.0,40000,0
3525,ikan_segar,SURPLUS,25.0,28000,1
3525,ikan_segar,SURPLUS,20.0,30000,1
3573,ikan_segar,DEFICIT,15.0,38000,0
3577,ikan_segar,DEFICIT,8.0,36000,0
3527,beras_premium,DEFICIT,200.0,16500,0
3526,beras_premium,DEFICIT,250.0,16400,0
3528,beras_medium,DEFICIT,180.0,14000,0
3511,ikan_segar,DEFICIT,6.0,38000,0
3511,tomat,DEFICIT,12.0,13500,0
3529,cabai_merah,DEFICIT,8.0,60000,0
